delta,delta_log2,frequency,density,cumulative_density
20/13,0.6214883767462703,29379,0.0005777861548914,0.9101037588215558
26/3,3.115477217419936,29378,0.0005777664882535,0.9106815253098093
13/20,-0.6214883767462701,29269,0.0005756228247223,0.9112571481345316
2/27,-3.7548875021634687,28668,0.0005638031753438,0.9118209513098754
27/2,3.7548875021634687,28196,0.0005545205222546,0.91237547183213
6/25,-2.0588936890535687,28085,0.0005523375254476,0.9129278093575776
25/6,2.0588936890535687,27966,0.0005499971955374,0.913477806553115
5/27,-2.4329594072761065,27954,0.0005497611958826,0.9140275677489975
27/5,2.4329594072761065,27843,0.0005475781990756,0.9145751459480731
24/11,1.1255308820838588,27633,0.0005434482051164,0.9151185941531895
16/15,0.0931094043914814,27463,0.0005401048766732,0.9156586990298627
15/16,-0.0931094043914814,27397,0.0005388068785718,0.9161975059084345
11/24,-1.125530882083859,27194,0.0005348145510779,0.9167323204595124
1/30,-4.906890595608519,26820,0.0005274592285029,0.9172597796880153
10/23,-1.2016338611696509,26692,0.0005249418988516,0.9177847215868669
30,4.906890595608519,26601,0.0005231522348026,0.9183078738216695
23/10,1.2016338611696504,26409,0.0005193762403256,0.9188272500619951
25/8,1.6438561897747248,26007,0.0005114702518895,0.9193387203138845
8/25,-1.6438561897747248,25743,0.0005062782594836,0.9198449985733681
21/11,0.932885804141463,25311,0.0004977822719104,0.9203427808452785
8/5,0.6780719051126378,25229,0.0004961696076025,0.920838950452881
18/17,0.0824621601919729,25211,0.0004958156081203,0.9213347660610013
11/21,-0.932885804141463,25140,0.0004944192768294,0.9218291853378306
9/26,-1.53051471669878,25128,0.0004941832771745,0.9223233686150052
17/18,-0.082462160191973,24994,0.0004915479476958,0.922814916562701
26/9,1.5305147166987798,24992,0.00049150861442,0.923306425177121
29/6,2.273018494406416,24972,0.000491115281662,0.923797540458783
6/29,-2.273018494406416,24930,0.0004902892828702,0.9242878297416532
5/8,-0.6780719051126377,24775,0.0004872409539955,0.9247750706956488
33/2,4.044394119358453,24583,0.0004834649595185,0.9252585356551672
2/33,-4.044394119358453,24483,0.0004814982957284,0.9257400339508957
14/19,-0.4405725913859815,24365,0.0004791776324561,0.9262192115833517
19/14,0.4405725913859815,24335,0.0004785876333191,0.9266977992166708
26/7,1.893084796083488,23954,0.0004710946442789,0.9271688938609497
7/26,-1.893084796083488,23788,0.0004678299823873,0.927636723843337
23/12,0.9385994553358568,23694,0.0004659813184246,0.9281027051617615
24/7,1.777607578663552,23692,0.0004659419851488,0.9285686471469103
12/23,-0.9385994553358568,23675,0.0004656076523045,0.9290342547992149
7/24,-1.777607578663552,23482,0.0004618119911896,0.9294960667904044
27/8,1.754887502163469,23014,0.000452608004652,0.9299486747950564
8/27,-1.754887502163469,23001,0.0004523523383593,0.9304010271334157
15/19,-0.3410369178350669,22911,0.0004505823409482,0.9308516094743639
3/28,-3.222392421336448,22892,0.0004502086748281,0.931301818149192
32/3,3.415037499278844,22752,0.0004474553455219,0.9317492734947139
3/32,-3.415037499278844,22745,0.0004473176790566,0.9321965911737705
19/15,0.3410369178350669,22641,0.0004452723487149,0.9326418635224855
28/3,3.222392421336448,22578,0.0004440333505272,0.9330858968730127
9/25,-1.4739311883324124,21478,0.0004224000488361,0.9335082969218488
25/9,1.4739311883324122,21402,0.0004209053843557,0.9339292023062045
